numero di ordine p,	seno dell'angolo di diffrazione	
1,	0.0007499999297
2,	0.001249999674
3,	0.001999998667
4,	0.002599997071
5,	0.003249994279
6,	0.003999989333
7,	0.004499984813	
8,	0.005499972271
9,	0.005749968315
