numero di ordine p,	seno dell'angolo di diffrazione	
1,	0.004999979167
2,	0.009999833334
3,	0.01474946516
4,	0.01899885685	
5,	0.02499739591
6,	0.03049527145
7,	0.0349928546
8,	0.03998933419	
9,	0.04498481404
