numero di ordine p,		seno dell'angolo	
1,		0.003465339599	
2,		0.006188079319	
3,		0.009158287813	
4,		0.01237592168	
5,		0.01534593227	
6,		0.01856329013	
7,		0.02153298909	
8,		0.02474994775	
9,		0.02796665014	
