numero di ordine p,	seno dell'angolo
1,	0.0017326724
2,	0.003217816229
3,	0.004455430804
4,	0.006188079319
5,	0.007920709256
6,	0.009405801901
7,	0.0108908738
8,	0.01237592168
9,	0.01410844281
